lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc,neighbourhood,geometry,dist_nearest_park
43.7505279,-79.46402940000002,650.0,1,29958,0,1,1,428000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,650.0,1,29958,1,1,1,482000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,650.0,1,29958,1,1,1,495000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505279,-79.46402940000002,650.0,1,29958,1,1,2,457000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46402940000002 43.7505279),124.82
43.7505992,-79.46502699999998,550.0,1,29958,0,1,1,423000,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.7505992,-79.46502699999998,750.0,1,29958,1,1,1,479500,0,0,0,0,1,0,0,0,0,0,0,York University Heights,POINT (-79.46502699999998 43.7505992),75.96
43.743883200000006,-79.4922058,1300.0,1,29958,1,4,2,540000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49220579999999 43.74388320000001),67.9
43.74408,-79.49120699999997,1100.0,1,29958,0,4,2,500000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49120699999997 43.74408),113.75
43.74452480000001,-79.4903892,1300.0,1,29958,0,3,2,542000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.4903892 43.74452480000001),159.75
43.745092299999996,-79.49252840000003,1300.0,1,29958,1,3,3,510000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49252840000003 43.7450923),208.97
43.745337400000004,-79.4945023,,1,29958,1,4,3,860000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.49450229999999 43.7453374),222.82
43.745504499999996,-79.49167920000002,1300.0,1,29958,0,3,2,510000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.49167920000002 43.7455045),148.73
43.74817669999999,-79.4999588,4250.0,2,29958,0,4,3,980000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.4999588 43.74817669999999),180.44
43.7482564,-79.49212399999998,,3,29958,0,3,2,700000,0,0,0,0,0,0,0,0,0,1,0,York University Heights,POINT (-79.49212399999998 43.7482564),325.34
43.7482582,-79.50063979999999,,2,29958,0,6,3,1143000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.50063979999999 43.7482582),220.18
43.748494,-79.49519219999998,2250.0,2,29958,0,4,4,1050000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.49519219999998 43.748494),366.62
43.7485503,-79.4922047,,1,29958,0,4,2,835000,0,0,0,0,0,0,0,1,0,0,0,York University Heights,POINT (-79.4922047 43.7485503),357.37
43.7519881,-79.489587,1300.0,1,29958,1,2,2,378500,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.489587 43.7519881),143.72
43.7524566,-79.489915,1300.0,2,29958,0,3,2,418000,0,0,0,0,0,1,0,0,0,0,0,York University Heights,POINT (-79.489915 43.7524566),131.25
43.752958899999996,-79.4930813,,4,29958,0,4,2,870000,0,0,0,0,0,0,1,0,0,0,0,York University Heights,POINT (-79.4930813 43.7529589),188.42
43.6786209,-79.29871779999998,650.0,1,92580,1,1,1,598000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.29871779999998 43.6786209),166.81
43.6786209,-79.29871779999998,750.0,1,92580,0,2,2,585000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.29871779999998 43.6786209),166.81
43.6786209,-79.29871779999998,650.0,1,92580,0,2,1,595000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.29871779999998 43.6786209),166.81
43.6786209,-79.29871779999998,750.0,1,92580,0,2,2,600000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.29871779999998 43.6786209),166.81
43.678778,-79.2973825,650.0,1,92580,0,2,2,604000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.2973825 43.678778),234.61
43.678778,-79.2973825,1300.0,1,92580,0,3,2,862000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.2973825 43.678778),234.61
43.678778,-79.2973825,650.0,0,92580,0,2,2,550000,0,0,0,0,1,0,0,0,0,0,0,The Beaches,POINT (-79.2973825 43.678778),234.61
43.6789001,-79.28891879999998,,1,92580,0,3,2,1177000,0,0,0,0,0,0,0,0,0,1,0,The Beaches,POINT (-79.28891879999998 43.6789001),302.57
43.6790933,-79.2873843,1750.0,2,92580,0,4,2,1250000,0,0,0,0,0,0,0,0,0,1,0,The Beaches,POINT (-79.2873843 43.6790933),352.3
43.679317499999996,-79.2956911,1100.0,1,92580,0,2,2,950000,0,0,0,0,0,1,0,0,0,0,0,The Beaches,POINT (-79.2956911 43.6793175),288.13
