Long,Lat,OGF_ID,ENGLISH_NAME,ADDRESS_LINE_1,ADDRESS_LINE_2,ADDRESS_DESCRIPTOR,COMMUNITY,POSTAL_CODE,OBJECTID
-79.43780431001441,43.7511519997107,127909751,Dynacare,4256 Bathurst Street,,,Toronto,M3H5Y8,755905
-79.3936721993546,43.7898489085371,127909754,Dynacare,3292 Bayview Avenue,,,Toronto,M2K1G4,755908
-79.4895042275982,43.763378199440794,127909756,Dynacare,1315 Finch Avenue West,,,Toronto,M3J2G6,755910
-79.45747561299501,43.7139201922736,127909757,Dynacare,960 Lawrence Avenue West,,,Toronto,M6A3B5,755911
-79.5232764376952,43.755746796529294,127909759,LifeLabs,2065 Finch Avenue West,,,Toronto,M3N2V7,755913
-79.3656514887023,43.7706218064753,127909760,LifeLabs,1255 Sheppard Avenue East,,,Toronto,M2K1E2,755914
-79.3362580751901,43.72390639965511,127909761,LifeLabs,20 Wynford Drive,Suite 107,,Toronto,M3C1J4,755915
-79.4720052222866,43.7664487007942,127909762,LifeLabs,2 Champagne Drive,,,Toronto,M3J2C5,755916
-79.3478757837278,43.77856760869221,127909763,LifeLabs,5 Fairview Mall Drive,,,Toronto,M2J2Z1,755917
-79.33678617542841,43.72469639976911,127909766,LifeLabs,29 Gervais Drive,,,Toronto,M3C1Z1,755920
-79.4779907207668,43.727780593746395,127909767,LifeLabs,1017 Wilson Avenue,,,Toronto,M3K1Z1,755921
-79.44820580845379,43.6960002895638,127909768,LifeLabs,1761 Eglinton Avenue West,,,Toronto,M6E2H7,755922
-79.47982822581679,43.77808230246429,127909769,LifeLabs,1111 Flint Road,,,Toronto,M3J3C7,755923
-79.51603623473329,43.7484055955828,127909771,LifeLabs,2780 Jane Street,,,Toronto,M3N2J2,755925
-79.4288290043132,43.7190975945136,127909777,LifeLabs,491 Lawrence Avenue West,,,Toronto,M5M1C7,755931
-79.3326131727854,43.7098213973539,127909778,LifeLabs,10 Gateway Boulevard,,,Toronto,M3C3A1,755932
-79.488360326478,43.75487359800611,127909779,Dynacare,3695 Keele Street,,,Toronto,M3J1N2,755933
-79.3697563900469,43.771001106351,127909780,LifeLabs,1104 Sheppard Avenue East,,,Toronto,M2K2V9,755934
-79.4887557238463,43.7237803925442,127909787,Humber River Hospital - Wilson Site,1235 Wilson Avenue,,,Toronto,M3M0B2,755941
-79.3625071875978,43.769488106423,127909788,North York General Hospital,4001 Leslie Street,,,Toronto,M2K1E1,755942
-79.44813611520121,43.7724535029575,127909790,North York General Hospital  - Branson Site,555 Finch Avenue West,,,Toronto,M2R1N5,755944
-79.44813611520121,43.7724535029575,127909794,Shared Hospital Laboratory Inc.,555 Finch Avenue West,,,Toronto,M2R1N5,755948
-79.3771169822072,43.65549128575561,127909795,"Reactivation Care Centre - Humber River Hospital, Church Site",200 Church Street,,,Toronto,M9N1N8,755949
-79.52593213845459,43.7547591962325,127909796,"Reactivation Care Centre - Humber River Hospital, Finch Site",2111 Finch Avenue West,,,Toronto,M3N1N1,755950
-79.34646768028492,43.744702502826605,127909797,Alpha Laboratories Incorporated,1262 Don Mills Road,,,Toronto,M3B2W7,755951
-79.3371302756231,43.7256582999218,127909798,In-Common Laboratories,57 Gervais Drive,,,Toronto,M3C1Z2,755952
-79.5878667513678,43.6777932798632,127910011,LifeLabs,37 Voyager Court North,,,Toronto,M9W4Y2,755959
-79.5854962561509,43.7401460908919,127910013,Dynacare,1525 Albion Road,,,Toronto,M9V5G5,755961
-79.5570730429387,43.69341118403771,127910014,Dynacare,1735 Kipling Avenue,,,Toronto,M9R2Y8,755962
-79.599188859745,43.731479488735,127910015,Dynacare,100 Humber College Boulevard,,,Toronto,M9V5G4,755963
-79.5997592598359,43.73045788852961,127910027,LifeLabs,115 Humber College Boulevard,,,Toronto,M9V1R8,755975
-79.4876573141137,43.617555973962205,127910550,LifeLabs,2318 Lake Shore Boulevard West,,,Toronto,M8V1A8,756137
-79.5535389408022,43.68201408220529,127910551,LifeLabs,1570 Kipling Avenue,,,Toronto,M9R2Y1,756138
