Neighbourhood, Guadeloupean, Scottish, North American Aboriginal origins, First Nations (North American Indian), Inuit, Mtis, Other North American origins, Acadian, American, Canadian, New Brunswicker, Newfoundlander, Nova Scotian, Ontarian, Qubcois, Portuguese, Other North American origins; n.i.e., European origins, British Isles origins, Channel Islander, Cornish, English, Irish, Manx, Welsh, British Isles origins; n.i.e., French origins, Alsatian, Breton, Corsican, French, Western European origins (except French origins), Austrian, Bavarian, Belgian, Dutch, Flemish, Frisian, German, Luxembourger, Swiss, Western European origins; n.i.e., Northern European origins (except British Isles origins), Danish, Finnish, Icelandic, Norwegian, Swedish, Northern European origins; n.i.e., Eastern European origins, Bulgarian, Caribbean origins, Byelorussian, Czech, Czechoslovakian; n.o.s., Estonian, Hungarian, Latvian, Lithuanian, Moldovan, Polish, Romanian, Russian, Slovak, Ukrainian, Eastern European origins; n.i.e., Southern European origins, Albanian, Bosnian, Catalan, Croatian, Cypriot, Greek, Italian, Kosovar, Macedonian, Maltese, Montenegrin, Serbian, Sicilian, Slovenian, Spanish, Yugoslavian; n.o.s., Southern European origins; n.i.e., Antiguan, Other European origins, Basque, Jewish, Roma (Gypsy), Slavic; n.o.s., Other European origins; n.i.e., Bahamian, Barbadian, Bermudan, Carib, Cuban, Dominican, Grenadian, Haitian, Jamaican, Kittitian/Nevisian, Martinican, Montserratan, Puerto Rican, St. Lucian, Arawak, Trinidadian/Tobagonian, Vincentian/Grenadinian, West Indian; n.o.s., Caribbean origins; n.i.e., Latin; Central and South American origins, Aboriginal from Central/South America (except Arawak and Maya), Argentinian, Belizean, Bolivian, Brazilian, Chilean, Colombian, Costa Rican, Ecuadorian, Guatemalan, Guyanese, Hispanic, Honduran, Maya, Beninese, Mexican, Nicaraguan, Panamanian, Paraguayan, Peruvian, Salvadorean, Uruguayan, Venezuelan, Latin; Central and South American origins; n.i.e., African origins, Central and West African origins, Akan, Angolan, Ashanti, Burkinabe, Cameroonian, Chadian, Congolese, Edo, Ewe, Gabonese, Gambian, Ghanaian, Guinean, Ibo, Ivorian, Liberian, Malian, Malink, Nigerian, Peulh, Senegalese, Sierra Leonean, Togolese, Wolof, Yoruba, Central and West African origins; n.i.e., Maure, North African origins, Algerian, Berber, Coptic, Dinka, Egyptian, Libyan, Moroccan, Sudanese, Tunisian, North African origins; n.i.e., Southern and East African origins, Afrikaner, Amhara, Bantu; n.o.s., Burundian, Djiboutian, Eritrean, Ethiopian, Harari, Kenyan, Malagasy, Mauritian, Oromo, Rwandan, Seychellois, Somali, South African, Tanzanian, Tigrian, Ugandan, Zambian, Zimbabwean, Zulu, Southern and East African origins; n.i.e., Other African origins, Black; n.o.s., Other African origins; n.i.e., Asian origins, West Central Asian and Middle Eastern origins, Afghan, Arab; n.o.s., Armenian, Assyrian, Azerbaijani, Georgian, Hazara, Iranian, Hmong, Iraqi, Israeli, Jordanian, Kazakh, Kurd, Kuwaiti, Kyrgyz, Maori, Lebanese, Palestinian, Pashtun, Saudi Arabian, Syrian, Tajik, Tatar, Turk, Turkmen, Uighur, Uzbek, Yemeni, West Central Asian and Middle Eastern origins; n.i.e., South Asian origins, Bangladeshi, Bengali, Bhutanese, East Indian, Goan, Gujarati, Kashmiri, Nepali, Pakistani, Punjabi, Sinhalese, Sri Lankan, Indonesian, Tamil, South Asian origins; n.i.e., East and Southeast Asian origins, Burmese, Cambodian (Khmer), Chinese, Filipino, Japanese, Karen, Korean, Laotian, Malaysian, Mongolian, Singaporean, Taiwanese, Thai, Tibetan, Vietnamese, East and Southeast Asian origins; n.i.e., Hawaiian, Other Asian origins, Other Asian origins; n.i.e., Oceania origins, Australian, New Zealander, Pacific Islands origins, Fijian, Polynesian; n.o.s., Samoan, Pacific Islands origins; n.i.e.
Lansing-Westgate,0,"1,130",100,70,0,25,"2,030",15,200,"1,920",0,0,0,0,10,215,0,"8,510","2,825",10,0,"1,640","1,195",0,110,240,610,0,0,0,610,"1,230",150,0,30,310,0,0,845,0,30,0,180,0,70,15,30,75,10,"3,835",85,355,30,80,40,30,415,65,235,35,"1,625",425,"1,540",20,540,125,"1,725",10,10,0,60,0,295,765,0,55,20,10,100,10,10,310,15,0,10,935,0,840,0,10,85,0,45,0,0,15,25,15,10,140,0,0,10,0,0,10,30,10,55,25,395,15,20,0,0,35,10,50,10,20,10,45,20,0,0,10,40,0,20,0,0,0,10,65,25,555,30,0,0,0,0,10,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,10,0,50,0,125,10,10,15,190,0,0,0,0,0,15,15,0,10,0,10,0,0,0,0,105,0,0,0,0,0,0,20,110,30,80,"6,815","1,735",20,40,60,0,10,30,0,"1,105",0,60,175,10,10,0,0,0,0,45,10,0,40,40,10,30,60,0,15,15,0,30,"1,135",20,15,0,960,15,0,15,10,125,20,15,30,45,0,70,"3,990",0,15,"1,910","1,120",115,0,910,0,10,10,0,65,15,0,50,0,0,25,20,50,35,0,0,0,0,0,0
Lawrence Park North,0,"3,545",105,75,0,25,"3,650",30,370,"3,385",0,10,10,0,0,150,0,"10,935","7,255",0,0,"4,340","3,215",10,480,605,"1,130",0,0,0,"1,130","2,095",170,0,70,445,10,0,"1,505",0,130,0,455,35,130,10,145,135,10,"2,695",50,260,35,150,55,55,320,65,150,0,"1,030",255,710,140,550,55,"2,090",10,25,0,95,10,395,975,0,195,15,0,105,0,135,170,0,0,0,345,20,300,0,0,20,15,50,15,0,0,0,0,0,105,10,0,0,10,0,0,30,0,35,0,250,10,25,0,0,10,10,45,0,15,10,60,0,0,0,0,60,0,10,0,0,0,15,0,0,335,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,10,0,65,0,10,0,0,25,0,30,0,0,0,155,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,120,0,15,0,0,0,10,0,90,30,75,"3,325",735,0,15,65,0,0,0,0,250,0,30,115,0,0,20,0,0,0,80,10,0,0,35,0,0,130,0,0,0,0,10,430,0,0,0,370,0,0,0,0,30,0,0,60,15,0,0,"2,210",0,0,"1,390",290,190,0,315,0,0,10,0,40,0,0,110,10,0,0,0,60,45,20,10,0,0,0,10
Lawrence Park South,0,"3,630",195,115,0,80,"3,825",30,450,"3,500",0,0,0,20,0,100,0,"11,740","7,200",0,0,"4,260","3,165",10,370,730,"1,230",0,0,0,"1,220","2,350",290,0,95,440,10,10,"1,570",0,150,0,550,75,55,75,165,220,40,"3,220",55,295,40,135,20,115,320,55,105,0,"1,545",260,"1,255",75,445,80,"2,010",35,15,0,40,30,435,"1,035",0,70,45,0,145,0,60,220,10,0,0,600,0,510,0,0,80,0,35,10,20,0,0,20,0,105,0,0,0,10,0,0,50,10,45,25,245,20,0,0,10,20,30,10,10,10,0,20,0,0,0,0,75,0,0,0,20,20,25,10,25,305,30,0,0,0,0,15,0,15,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,95,0,20,10,0,50,0,30,10,10,0,120,0,0,0,0,0,10,10,0,15,0,20,0,0,0,10,70,0,0,0,0,0,0,0,65,10,40,"2,510",615,0,15,60,15,0,10,0,275,0,30,60,0,0,10,0,0,0,75,25,0,0,10,15,0,105,0,0,0,15,10,425,10,15,0,320,0,0,0,0,25,0,10,0,25,10,30,"1,490",0,0,935,285,90,0,145,0,0,10,0,10,0,0,55,10,0,30,30,180,135,30,10,0,10,0,0
Leaside-Bennington,0,"4,565",305,210,25,90,"4,045",65,305,"3,815",0,0,0,0,0,290,0,"13,150","9,625",0,10,"5,605","4,185",20,475,910,"1,385",10,0,0,"1,390","2,425",115,10,135,480,0,0,"1,745",0,110,0,660,75,165,70,210,175,10,"2,195",45,290,0,40,20,155,330,45,120,10,660,225,425,105,485,45,"2,570",20,15,0,75,30,520,"1,230",0,120,10,10,145,0,90,350,40,10,0,295,20,240,0,0,50,0,25,0,0,15,15,0,0,140,0,0,0,0,0,0,70,0,15,0,390,0,30,0,20,80,10,45,0,0,20,80,10,0,0,0,35,30,10,0,15,0,0,10,25,270,40,0,0,0,0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,0,0,0,55,0,25,10,0,0,80,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,35,0,0,0,0,10,0,10,60,0,55,"2,740",525,0,35,40,15,10,20,0,225,0,0,15,0,0,10,0,0,0,130,0,0,0,45,0,0,10,0,0,0,0,20,520,0,10,0,440,0,0,0,15,40,10,10,10,55,25,0,"1,745",10,15,"1,125",215,95,0,210,0,20,0,0,45,10,0,60,0,0,0,0,140,95,55,10,20,0,0,0
Little Portugal,0,"2,195",420,285,0,165,"2,590",45,275,"2,385",0,10,0,0,15,"3,000",0,"10,835","5,170",0,0,"2,555","2,310",0,250,670,"1,195",0,0,0,"1,190","1,670",115,0,35,480,0,0,"1,105",0,60,0,340,115,40,20,85,115,0,"1,905",10,420,30,50,30,10,215,50,85,10,715,115,455,45,615,40,"4,545",0,10,10,60,0,125,"1,115",0,25,55,0,40,0,15,325,10,0,0,360,0,310,0,20,35,0,30,0,0,25,10,15,10,215,0,0,0,0,0,10,100,10,40,25,610,35,45,0,0,125,25,50,10,45,10,35,25,0,55,0,65,10,0,0,25,55,10,50,25,640,170,0,30,0,0,0,0,10,0,0,0,0,30,10,0,10,0,0,0,45,0,0,0,0,0,0,35,0,120,0,0,0,0,75,0,45,0,0,0,210,0,0,0,0,0,45,15,0,10,0,10,10,10,0,10,55,0,15,0,0,30,0,10,170,10,165,"3,275",355,25,0,25,0,10,0,0,90,0,20,55,15,0,10,0,0,0,65,10,0,0,10,0,0,50,0,0,0,0,15,480,0,10,0,350,10,0,0,0,50,0,0,55,0,10,25,"2,465",0,0,"1,605",260,140,0,175,0,10,0,0,45,25,30,355,0,0,35,25,70,75,10,0,0,0,0,0
Long Branch,0,"1,500",280,220,0,60,"2,270",20,205,"2,105",0,10,0,20,10,295,25,"7,370","3,650",0,0,"1,870","1,760",0,165,405,760,0,0,0,760,"1,275",125,0,20,295,0,0,890,0,50,0,180,40,40,0,65,45,10,"2,530",40,510,10,50,20,45,160,20,60,20,"1,180",65,350,70,825,10,"1,550",25,20,0,40,10,190,575,0,60,80,0,160,0,35,160,30,0,0,115,0,70,0,0,40,10,25,10,0,85,10,10,20,185,30,0,0,0,15,0,140,15,25,20,365,20,0,0,0,40,50,35,0,20,0,40,0,0,0,0,75,0,0,0,10,45,20,10,0,265,25,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,25,0,15,0,0,10,0,0,0,0,0,85,0,0,0,0,0,0,20,0,10,0,0,10,0,0,20,25,0,0,10,0,0,0,0,125,30,95,"1,595",265,0,25,25,0,0,10,10,100,0,0,0,25,10,0,0,0,0,0,10,0,0,15,0,0,25,0,0,0,0,20,380,10,15,0,325,0,0,0,10,20,0,0,0,0,10,0,945,10,0,250,425,40,0,20,0,0,0,0,10,0,125,95,0,0,45,40,20,15,20,0,0,0,0,0
Malvern,0,"1,360",335,270,30,65,"3,785",30,160,"3,620",0,10,0,0,0,590,0,"6,350","3,565",0,0,"2,005","1,260",10,65,285,700,0,0,0,690,785,30,0,20,270,0,10,535,0,10,0,60,20,20,0,10,0,10,655,30,"6,985",0,100,0,10,75,20,0,0,275,70,40,30,85,0,"2,040",45,0,0,50,0,160,385,0,120,50,0,30,0,20,740,30,0,150,140,0,60,40,0,55,35,310,0,30,115,80,245,150,"4,065",20,0,10,0,80,30,"1,005",225,975,295,"2,115",60,25,0,0,10,0,95,0,65,35,"1,440",10,10,10,0,55,10,0,0,10,135,0,60,130,"3,035",680,0,0,0,0,30,0,175,0,0,0,0,155,15,0,0,0,0,10,285,0,0,10,0,0,20,10,0,130,60,0,0,0,65,0,0,10,0,0,780,0,0,0,0,20,20,250,0,30,0,20,0,0,0,275,35,25,0,45,0,0,0,130,"1,495",340,"1,160","28,455","1,430",520,135,30,0,10,0,15,145,0,80,0,20,0,0,0,0,0,105,85,0,0,135,0,10,75,0,20,25,15,60,"18,085",420,190,0,"9,325",20,90,30,0,"1,415",185,60,"5,225",10,"1,930",870,"9,360",15,0,"4,215","5,095",50,0,85,0,110,10,40,10,10,25,135,50,0,140,120,55,20,15,15,15,0,10,0
Maple Leaf,0,210,15,10,0,10,595,0,25,560,0,10,0,0,0,970,0,"5,500",615,0,0,385,250,0,15,30,165,0,0,0,160,240,20,0,10,50,0,0,200,0,0,0,25,0,0,0,0,10,0,235,0,685,0,15,0,10,20,0,0,0,90,10,40,0,60,0,"4,740",50,0,0,35,10,90,"3,550",0,25,0,0,0,0,25,180,0,10,0,25,0,15,0,0,10,0,15,0,0,30,60,20,10,375,0,0,0,0,35,0,65,10,75,30,730,15,55,0,0,55,130,75,0,170,0,35,10,10,15,0,60,20,0,0,30,85,0,15,10,255,30,10,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,45,0,0,10,10,0,10,0,0,10,0,0,10,0,0,15,0,0,0,0,0,105,20,90,"2,915",165,0,10,10,0,0,0,0,15,0,15,0,0,0,15,0,0,0,30,20,0,10,0,0,0,80,0,0,0,0,0,"1,025",10,0,0,850,0,20,0,0,0,0,0,130,0,15,40,"1,725",0,0,260,"1,220",20,0,45,0,0,0,0,0,0,0,310,0,0,10,15,10,0,0,10,0,0,0,10
Markland Wood,0,"1,645",85,55,20,20,"1,615",0,120,"1,520",0,0,0,0,0,370,0,"8,760","3,800",0,0,"2,190","1,635",0,110,330,575,0,0,0,575,"1,040",75,0,20,245,10,0,710,0,45,15,155,35,25,10,45,15,25,"2,535",115,235,25,45,20,45,160,30,85,15,895,100,195,125,"1,000",0,"3,030",35,145,0,290,45,250,905,0,155,50,35,890,0,135,215,10,0,0,35,0,25,0,10,0,0,10,0,0,30,0,0,0,110,0,0,0,10,0,0,45,10,20,0,250,0,25,0,0,30,15,30,0,15,0,30,10,0,0,0,40,0,0,0,25,20,0,10,15,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,35,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,50,10,50,"1,220",230,0,10,20,0,0,0,0,50,0,0,0,15,0,0,0,0,0,50,0,0,10,65,0,10,30,0,0,0,0,0,255,0,0,0,220,0,0,0,0,60,0,0,0,0,0,10,755,0,0,270,115,40,0,250,0,0,0,0,25,0,10,55,0,0,0,0,20,0,0,0,0,0,0,0
Milliken,0,215,30,20,0,0,"1,010",0,0,"1,010",0,0,0,0,0,135,0,"1,355",600,0,0,400,195,0,0,30,90,0,0,0,110,125,10,0,0,40,0,0,90,0,10,0,35,0,10,0,10,20,0,90,10,950,0,0,0,15,10,0,0,0,30,15,10,0,30,15,565,0,0,0,0,0,80,150,0,25,0,0,0,0,0,225,0,0,20,10,0,0,0,0,0,0,80,0,10,10,15,10,0,575,0,0,0,0,35,0,145,20,115,40,270,10,0,0,0,0,0,0,0,0,0,210,0,0,0,0,20,0,0,0,0,0,0,45,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,95,0,0,25,0,70,0,0,25,10,0,55,0,0,0,0,10,0,15,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,140,20,115,"23,750",270,110,10,45,0,0,0,0,30,0,25,0,0,0,10,0,0,0,10,10,0,0,20,0,0,0,0,0,0,20,10,"3,215",25,10,0,"1,310",0,0,0,0,120,65,25,"1,330",60,590,100,"20,360",10,0,"19,140","1,135",40,0,20,10,40,0,0,10,20,0,260,10,0,10,0,0,0,0,0,0,0,0,0
Mimico (includes Humber Bay Shores),0,"4,120",610,445,10,145,"5,375",40,425,"4,985",0,30,0,10,30,"1,355",0,"22,165","10,040",0,0,"5,410","4,235",0,445,920,"2,175",0,0,0,"2,185","3,070",225,0,95,650,10,0,"2,200",0,105,0,620,120,140,75,125,195,25,"6,585",130,"1,275",60,180,65,70,460,85,190,30,"2,780",295,"1,045",270,"2,350",25,"6,470",440,115,10,260,0,295,"2,945",0,105,160,20,345,0,95,745,70,10,10,255,10,180,40,10,50,35,90,25,10,70,40,45,20,680,0,0,0,0,20,10,170,10,105,45,"1,395",35,80,0,0,150,95,190,10,80,15,170,25,25,10,0,230,20,10,10,95,45,35,115,60,"1,165",250,0,0,0,0,10,0,0,0,0,0,0,50,0,20,0,0,0,0,170,0,0,0,0,0,0,0,0,240,20,0,0,0,170,0,20,20,10,0,375,0,0,0,10,0,0,105,0,25,0,10,0,0,0,65,65,10,0,10,10,0,0,60,335,50,280,"7,780","1,150",100,85,60,15,10,0,0,375,0,10,45,20,20,0,0,0,0,185,35,0,10,75,0,10,160,0,0,0,0,45,"1,940",45,45,0,"1,560",35,0,0,25,195,25,0,75,30,0,75,"4,775",0,20,"2,010","1,180",285,0,550,30,65,45,10,40,25,545,250,10,10,35,25,115,35,0,55,30,0,0,30
Morningside,0,"1,040",205,180,0,20,"2,355",0,65,"2,285",0,0,10,0,0,295,0,"4,775","2,700",0,0,"1,530",865,0,65,235,510,0,0,0,510,615,50,0,10,115,0,0,435,0,40,0,95,25,10,0,20,40,10,695,10,"2,280",0,40,10,10,100,25,15,0,215,85,75,10,140,0,"1,445",25,0,0,15,20,220,460,0,90,25,0,70,0,0,375,15,0,0,25,0,15,0,0,10,0,90,10,10,25,20,55,55,"1,495",10,0,0,0,15,10,160,130,270,70,665,45,0,0,0,0,25,10,15,0,25,375,0,0,20,0,80,0,45,0,10,10,0,0,50,"1,255",335,10,0,0,0,25,0,15,15,0,0,0,80,0,35,0,0,10,0,140,0,15,0,0,0,30,25,10,85,0,0,0,0,30,0,0,25,0,20,340,0,0,0,0,15,20,130,10,40,0,20,0,10,10,25,45,0,0,10,0,45,0,20,545,70,490,"9,160",635,240,10,30,30,0,0,0,110,0,0,0,20,0,0,0,0,0,65,0,0,0,130,0,0,10,0,0,0,15,40,"5,370",220,110,0,"2,570",30,25,0,10,355,20,95,"1,775",30,480,180,"3,350",0,10,"1,330","1,965",70,0,75,0,25,0,0,20,0,0,135,0,0,40,40,50,10,0,30,15,10,0,20
Moss Park,0,"2,660",435,335,10,95,"3,260",30,245,"3,050",0,0,0,0,25,330,0,"10,135","6,215",0,0,"3,325","2,755",0,315,650,"1,525",10,0,0,"1,515","1,995",110,0,55,470,10,10,"1,395",0,70,0,470,175,75,35,110,105,0,"2,155",35,945,50,105,0,35,270,50,60,0,740,145,560,45,630,25,"2,280",30,15,0,135,0,255,"1,090",0,45,30,0,120,10,35,370,40,0,0,220,0,150,0,0,40,10,85,0,0,40,50,20,20,470,25,0,0,10,0,0,155,25,20,75,670,35,10,0,0,50,15,95,10,50,20,190,20,0,0,0,120,0,10,0,10,25,0,45,0,"2,120",285,0,25,0,0,0,0,85,0,0,0,0,60,10,0,10,0,0,0,65,0,0,20,0,0,10,15,10,190,0,10,0,0,100,10,30,30,10,0,"1,230",0,10,10,15,0,100,505,0,25,0,10,25,20,0,445,60,0,0,50,0,25,0,40,435,20,420,"4,920",830,55,105,40,0,10,0,0,270,0,55,65,0,10,10,0,0,0,65,60,0,10,30,10,10,60,0,0,0,15,35,"1,400",145,45,0,855,0,15,0,0,140,20,10,160,25,50,60,"2,745",30,15,"1,650",480,140,0,190,25,35,0,10,45,20,55,340,10,0,10,10,60,35,25,0,0,0,0,0
Mount Dennis,0,495,180,140,0,35,"1,490",0,90,"1,415",0,10,0,0,0,"1,465",0,"4,760","1,365",0,0,765,530,0,95,125,380,0,0,0,385,420,20,0,20,105,0,0,285,0,0,0,45,0,20,0,10,15,0,650,45,"2,605",10,10,0,20,60,0,20,0,265,60,120,0,160,0,"2,810",180,15,0,60,0,90,670,25,10,25,0,15,10,10,475,0,0,10,50,0,30,0,0,0,0,75,0,0,60,45,205,20,"1,510",0,0,0,20,160,0,135,140,240,195,"1,590",50,25,0,35,200,45,170,10,180,65,295,20,60,0,0,115,10,0,0,50,255,10,35,20,"1,955",630,0,15,0,0,15,0,110,0,0,0,60,130,10,0,0,0,10,0,205,0,30,15,10,0,45,35,0,10,0,0,0,0,0,0,0,0,10,0,820,0,0,0,0,0,185,90,0,10,0,0,0,10,0,475,10,0,15,40,0,0,0,10,555,45,500,"3,105",290,35,10,0,0,0,10,0,45,0,10,0,0,0,0,0,0,0,60,0,0,0,15,0,0,105,0,0,0,0,0,690,40,40,0,480,0,0,0,0,35,10,0,55,0,0,50,"2,125",0,25,475,840,75,0,165,0,0,0,0,0,10,0,650,0,0,0,0,20,0,0,20,10,20,0,0
Mount Olive-Silverstone-Jamestown,0,475,185,145,10,20,"2,270",0,80,"2,200",0,20,10,0,0,310,0,"3,955","1,395",0,0,745,495,15,40,110,210,0,0,0,205,365,20,0,0,75,0,0,285,0,0,0,20,0,10,0,10,0,0,505,10,"4,335",0,35,0,10,60,0,0,10,220,60,55,20,140,0,"1,995",45,10,0,45,0,90,"1,145",0,15,35,0,10,0,0,385,35,0,10,75,0,45,0,0,35,0,85,0,0,60,10,185,225,"2,465",20,0,0,10,195,0,250,170,730,145,"1,735",25,40,0,0,20,65,70,15,130,105,800,10,0,10,20,115,35,0,0,25,180,0,0,130,"4,975","2,140",80,0,115,0,60,10,45,135,0,0,0,930,10,10,35,10,0,10,660,0,0,20,30,0,95,0,0,75,0,0,0,0,40,0,10,15,0,0,"1,590",0,0,10,0,10,45,180,0,50,0,35,0,0,0,"1,225",10,20,0,15,0,10,0,10,"1,190",100,"1,105","18,675","5,440",515,330,65,"1,145",0,10,0,90,0,"3,135",10,0,0,0,0,0,0,55,50,10,0,160,0,10,150,0,0,10,45,240,"11,395",150,55,0,"8,540",20,170,0,0,825,420,10,"1,130",30,315,455,"1,920",0,25,635,895,20,20,60,55,0,0,0,0,20,0,430,0,0,45,50,10,0,0,0,0,0,0,0
Mount Pleasant East,0,"3,455",320,240,0,85,"3,665",30,380,"3,385",0,15,10,0,0,310,0,"12,560","7,920",0,0,"4,580","3,510",0,510,765,"1,435",0,0,0,"1,435","2,475",325,0,45,575,0,0,"1,710",20,60,0,510,80,125,10,140,195,10,"3,190",50,435,10,70,35,170,260,80,125,20,"1,225",300,860,100,670,50,"2,625",15,15,0,150,0,425,"1,080",15,135,10,20,275,10,90,295,55,0,10,395,0,345,10,0,60,0,30,10,0,20,10,10,0,200,0,0,0,0,0,0,100,30,10,25,525,10,30,10,0,35,20,90,0,25,10,35,0,10,20,0,105,10,0,0,65,15,0,50,25,490,85,0,0,0,0,0,0,30,0,0,0,0,30,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,95,10,0,0,0,35,15,30,0,0,0,150,0,0,0,0,0,10,0,0,25,0,0,0,15,0,10,45,15,10,0,0,0,0,30,160,55,110,"3,525",770,0,10,110,0,10,10,0,250,0,0,115,0,0,0,0,0,0,145,25,0,15,20,0,0,95,0,0,0,25,30,785,10,0,0,680,0,0,0,0,50,0,10,40,25,0,20,"2,015",0,10,"1,095",425,195,0,285,0,10,0,0,10,0,10,15,15,0,10,10,55,45,10,10,0,0,0,10
Mount Pleasant West,0,"4,350",405,330,0,95,"4,610",30,365,"4,340",0,10,0,0,10,465,0,"18,685","10,135",10,0,"5,435","4,320",10,515,"1,025","2,030",10,0,0,"2,025","3,040",300,0,90,665,10,0,"2,085",10,110,0,690,135,165,20,150,180,70,"5,300",160,910,170,195,25,120,485,95,155,0,"1,940",565,"1,745",80,960,120,"4,070",85,65,0,235,50,425,"1,545",0,155,50,60,560,10,90,740,75,0,20,700,10,615,0,10,70,0,35,0,10,60,0,25,10,430,20,0,10,10,0,0,190,25,100,65,"1,335",70,35,0,10,160,45,235,0,60,0,105,0,0,10,0,235,10,15,0,120,60,0,160,30,"1,250",130,0,0,0,0,0,0,20,0,0,0,0,50,0,0,0,10,0,0,45,0,0,0,10,0,0,0,0,285,15,10,0,0,185,0,65,0,0,10,525,0,0,0,0,0,115,60,0,30,0,35,25,0,0,20,140,20,0,0,0,25,0,60,320,40,265,"8,225","2,400",30,155,95,0,50,20,10,"1,245",0,40,125,45,0,85,0,0,0,220,70,0,10,45,20,10,245,10,0,10,25,35,"2,035",65,20,0,"1,695",20,10,10,20,130,10,30,30,30,10,60,"3,870",10,20,"1,675","1,080",280,0,765,10,10,0,0,30,20,0,95,0,0,55,55,95,55,20,0,0,0,0,0
New Toronto,0,"1,770",330,260,0,75,"2,275",35,155,"2,145",0,10,10,0,10,365,0,"7,315","3,920",0,0,"2,020","1,770",10,265,365,910,0,0,0,900,"1,270",110,0,75,340,0,0,840,0,60,0,245,55,50,20,50,90,10,"2,185",15,930,25,45,10,20,165,15,75,0,"1,100",50,265,45,690,0,"1,625",75,10,0,100,0,145,610,0,30,55,0,70,0,30,255,30,0,0,115,0,65,0,20,25,0,40,0,25,30,15,20,25,420,15,0,0,0,0,10,145,50,135,35,430,50,25,0,0,35,35,40,0,25,10,65,0,50,0,0,90,25,0,0,10,10,10,0,35,820,150,0,20,0,0,30,0,10,0,0,0,0,20,0,10,0,0,0,0,40,0,0,0,0,0,10,20,0,90,0,0,0,0,20,0,10,60,0,0,365,10,0,0,0,0,0,85,0,10,0,0,20,10,0,110,60,0,0,15,0,45,0,30,230,30,200,"2,160",255,0,40,15,0,0,0,0,55,0,0,15,0,0,0,0,10,0,20,20,0,0,10,0,0,65,0,0,0,10,0,645,20,15,0,510,10,0,0,25,20,35,0,10,0,0,15,"1,295",10,0,465,425,75,0,60,0,0,10,0,0,0,190,110,0,0,10,10,45,45,0,10,0,0,0,0
Newtonbrook East,0,680,50,50,0,0,855,0,50,815,0,20,0,0,0,145,0,"4,005","1,595",0,0,940,805,0,55,115,260,0,0,0,245,465,40,0,10,95,0,0,330,0,40,0,110,10,45,0,0,35,0,"1,090",0,160,15,10,10,35,160,10,20,10,335,135,390,35,230,0,"1,355",35,0,0,75,10,215,670,0,75,20,10,75,10,20,120,20,0,0,50,0,70,0,0,0,0,15,0,0,15,0,0,0,70,0,0,0,0,10,0,20,0,65,0,165,0,0,0,0,20,0,55,0,10,0,25,0,0,0,0,20,0,0,0,0,0,10,0,0,180,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,15,0,0,0,0,0,0,20,0,55,0,0,0,0,55,0,10,0,0,0,60,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,20,0,0,0,0,0,0,15,30,10,30,"11,295","3,070",75,100,50,0,40,15,0,"2,530",0,45,20,0,0,20,0,0,0,105,0,0,0,20,0,35,50,0,0,35,0,55,795,40,30,0,580,45,0,0,0,90,0,0,10,25,0,50,"7,515",0,0,"4,765",515,75,0,"1,960",0,10,0,0,170,20,0,90,0,0,20,20,0,10,0,0,0,0,0,0
