lat,long,sqft,parking,mean_district_income,bedrooms_bg,bedrooms_ag,bathrooms,final_price,type_Att/Row/Twnhouse,type_Co-Op Apt,type_Co-Ownership Apt,type_Comm Element Condo,type_Condo Apt,type_Condo Townhouse,type_Detached,type_Link,type_Plex,type_Semi-Detached,type_Store W/Apt/Offc
43.6393203,-79.3857232,850.0,1,70600,1,1,1,667700,0,0,0,0,1,0,0,0,0,0,0
43.7485076,-79.5059333,650.0,1,27984,0,1,1,219000,0,0,1,0,0,0,0,0,0,0,0
43.6703527,-79.54919740000003,,4,99055,0,4,4,2075000,0,0,0,0,0,0,1,0,0,0,0
43.6517211,-79.369404,550.0,1,58915,0,1,1,610000,0,0,0,0,1,0,0,0,0,0,0
43.65228279999999,-79.3903646,750.0,0,37422,0,2,1,526000,0,0,0,0,1,0,0,0,0,0,0
43.63721500000001,-79.5195313,2750.0,4,64140,1,4,5,2200000,0,0,0,0,0,0,1,0,0,0,0
43.773748299999994,-79.4155086,550.0,0,44576,0,1,1,443000,0,0,0,0,1,0,0,0,0,0,0
43.6415328,-79.4240715,750.0,0,45737,0,2,2,566000,0,0,0,0,1,0,0,0,0,0,0
43.7397154,-79.2980395,,3,35047,1,3,3,815500,0,0,0,0,0,0,1,0,0,0,0
43.67730710000001,-79.5069852,850.0,1,34059,0,1,1,475500,0,0,0,0,1,0,0,0,0,0,0
43.719448799999995,-79.33766640000002,650.0,1,28654,1,1,1,440000,0,0,0,0,1,0,0,0,0,0,0
43.8254793,-79.266764,,4,28085,2,4,4,1070000,0,0,0,0,0,0,1,0,0,0,0
43.7185565,-79.3262896,1100.0,1,28654,0,3,2,430000,0,0,0,0,1,0,0,0,0,0,0
43.656674,-79.3834432,1100.0,0,56526,0,2,2,718000,0,0,0,0,1,0,0,0,0,0,0
43.823237799999994,-79.26620240000003,,2,28085,1,3,4,735000,0,0,0,0,0,0,0,1,0,0,0
43.7846461,-79.31876290000002,,2,31826,0,3,3,1005605,0,0,0,0,0,0,1,0,0,0,0
43.784732700000006,-79.2881438,950.0,1,31825,0,2,2,435000,0,0,0,0,1,0,0,0,0,0,0
43.6522277,-79.36926989999998,750.0,0,58915,1,1,1,586000,0,0,0,0,1,0,0,0,0,0,0
43.6465994,-79.5345875,2750.0,5,52787,0,5,2,1310000,0,0,0,0,0,0,1,0,0,0,0
43.7011607,-79.5068557,1300.0,1,32997,0,3,2,503000,0,0,0,0,0,1,0,0,0,0,0
43.661927,-79.3865112,850.0,1,56526,0,2,2,968000,0,0,0,0,1,0,0,0,0,0,0
43.6881929,-79.32052359999999,,0,51846,1,2,2,910000,0,0,0,0,0,0,1,0,0,0,0
43.7734963,-79.35896369999998,1900.0,2,37379,1,2,3,1458000,0,0,0,0,1,0,0,0,0,0,0
43.6368544,-79.39662009999998,850.0,1,70600,1,1,1,673000,0,0,0,0,1,0,0,0,0,0,0
43.7958866,-79.4270483,1300.0,1,34904,0,3,2,546000,0,0,0,0,1,0,0,0,0,0,0
43.6419035,-79.37911299999998,650.0,0,70600,1,1,1,725000,0,0,0,0,1,0,0,0,0,0,0
43.6811732,-79.31704049999998,,0,55199,0,2,2,950000,0,0,0,0,0,0,0,0,0,1,0
43.7486435,-79.3063932,,3,35047,2,3,2,795000,0,0,0,0,0,0,1,0,0,0,0
43.6875989,-79.31864190000002,,1,55225,1,3,3,985000,0,0,0,0,0,0,0,0,0,1,0
43.783110799999996,-79.4151998,1100.0,1,45212,1,2,2,550000,0,0,0,0,1,0,0,0,0,0,0
43.6502088,-79.56850940000002,1500.0,1,38255,1,3,2,486000,0,0,0,0,1,0,0,0,0,0,0
43.7500359,-79.5673777,1300.0,1,30731,0,3,2,440000,0,0,0,0,1,0,0,0,0,0,0
43.64028460000001,-79.5598172,750.0,1,52787,1,1,1,487000,0,0,0,0,1,0,0,0,0,0,0
43.7976705,-79.3198853,1500.0,1,31826,1,2,2,377000,0,0,0,0,1,0,0,0,0,0,0
43.6960276,-79.30855030000002,,1,47710,1,3,4,950000,0,0,0,0,0,0,1,0,0,0,0
43.81401870000001,-79.2292769,,6,29573,2,4,3,710000,0,0,0,0,0,0,1,0,0,0,0
43.66110270000001,-79.3821061,850.0,1,53583,0,2,2,740000,0,0,0,0,1,0,0,0,0,0,0
43.74912570000001,-79.3460936,,6,67757,1,3,2,1352875,0,0,0,0,0,0,1,0,0,0,0
43.7323456,-79.5369412,1100.0,1,39003,0,3,2,459900,0,0,0,0,1,0,0,0,0,0,0
43.7913153,-79.35724809999998,950.0,1,37379,0,2,2,440000,0,0,0,0,1,0,0,0,0,0,0
43.7505659,-79.3291504,,4,42516,1,3,4,1725750,0,0,0,0,0,0,1,0,0,0,0
43.814511700000004,-79.2337252,,5,29573,2,3,2,710000,0,0,0,0,0,0,1,0,0,0,0
43.73069270000001,-79.32731940000002,1500.0,2,67757,1,2,2,573000,0,0,0,0,1,0,0,0,0,0,0
43.6405881,-79.42482740000001,650.0,1,35207,0,2,1,555000,0,0,0,0,1,0,0,0,0,0,0
43.65221029999999,-79.3707988,850.0,1,58915,0,2,2,840000,0,0,0,0,1,0,0,0,0,0,0
43.774003,-79.2575808,850.0,1,33256,1,2,2,561000,0,0,0,0,1,0,0,0,0,0,0
43.70443770000001,-79.4358191,,3,85099,1,4,3,1901000,0,0,0,0,0,0,1,0,0,0,0
